id,name,give_name,family_name,group_id,constituency_id,votes
124,Václav Cempírek,Václav,Cempírek,top-09,48,yes
195,Aleš Dufek,Aleš,Dufek,kdu-csl,78,yes
227,Jiří Šoltys,Jiří,Šoltys,obcane-cr,60,yes
142,Pavel Štohl,Pavel,Štohl,cssd,54,yes
170,Slavomír Bača,Slavomír,Bača,top-09,69,yes
155,Dušan Hluzín,Dušan,Hluzín,top-09,63,yes
32,Petr Martan,Petr,Martan,spo,12,yes
120,Přemysl Škácha,Přemysl,Škácha,ano,45,yes
31,Mario Vlček,Mario,Vlček,ano,12,yes
132,Jiří Havlíček,Jiří,Havlíček,top-09,51,yes
76,Aleš Rykl,Aleš,Rykl,svobodni,27,yes
105,Pavel Trpák,Pavel,Trpák,cssd,39,yes
125,Soňa Hlavová,Soňa,Hlavová,spo,48,yes
236,Stanislav Rudolfský,Stanislav,Rudolfský,hdp,39,yes
78,Vladimír Stwora,Vladimír,Stwora,nb-nd,27,yes
74,Rudolf Mládek,Rudolf,Mládek,oks,27,yes
115,Pavel Křížek,Pavel,Křížek,sz,45,yes
139,Petr Firbas,Petr,Firbas,ano,54,yes
10,Eva Kašová,Eva,Kašová,kscm,6,yes
47,Vladimír Balaš,Vladimír,Balaš,top-09,21,yes
6,Miroslav Nenutil,Miroslav,Nenutil,cssd,3,yes
52,Stanislav Štech,Stanislav,Štech,cssd,21,yes
92,Milan Adamec,Milan,Adamec,ano,36,yes
67,Dagmar Gušlbauerová,Dagmar,Gušlbauerová,kscm,27,yes
85,Josef Holub,Josef,Holub,ods,33,yes
254,Otto Chaloupka,Otto,Chaloupka,republika,30,yes
157,Antonín Prachař,Antonín,Prachař,ano,63,yes
17,Ladislav Cabada,Ladislav,Cabada,top-09,9,yes
81,Rudolf Carvan,Rudolf,Carvan,kscm,30,yes
43,Josef Hála,Josef,Hála,kscm,18,yes
128,Petr Sadovský,Petr,Sadovský,ano,48,yes
71,Eva Jurinová,Eva,Jurinová,republika,27,yes
172,Stanislav Fridrich,Stanislav,Fridrich,ano,69,yes
30,Václav Trojan,Václav,Trojan,svobodni,12,yes
119,Jiří Oliva,Jiří,Oliva,top-09,45,yes
39,Radek Nejezchleb,Radek,Nejezchleb,kscm,15,yes
54,Zuzana Baudyšová,Zuzana,Baudyšová,ano,24,yes
130,František Bradáč,František,Bradáč,kdu-csl,51,yes
114,Jiří Hladík,Jiří,Hladík,doma,45,yes
45,Václav Švenda,Václav,Švenda,top-09,18,yes
80,Jiří Dienstbier,Jiří,Dienstbier,cssd,30,yes
133,Josef Mička,Josef,Mička,spo,51,yes
149,Karel Doležal,Karel,Doležal,cssd,60,yes
3,Pavel Hojda,Pavel,Hojda,kscm,3,yes
201,Jiří Sýkora,Jiří,Sýkora,ods,78,yes
247,Roman Kříž,Roman,Kříž,svobodni,21,yes
68,Václav Hampl,Václav,Hampl,kdu-csl,27,yes
167,Zdenka Wagnerová,Zdenka,Wagnerová,republika,66,yes
140,Jiří Němec,Jiří,Němec,kdu-csl,54,yes
229,Karel Beneš,Karel,Beneš,svobodni,18,yes
88,Jaroslav Sykáček,Jaroslav,Sykáček,cssd,33,yes
196,Alena Gajdůšková,Alena,Gajdůšková,cssd,78,yes
62,Ilona Picková,Ilona,Picková,sz,24,yes
224,Jiří Landa,Jiří,Landa,ano,30,yes
118,Ladislav Minařík,Ladislav,Minařík,usvit,45,yes
106,Regina Davídková,Regina,Davídková,ano,42,yes
55,Miroslav Froněk,Miroslav,Froněk,ka2014,24,yes
104,Adolf Klepš,Adolf,Klepš,top-09,39,yes
37,Stanislav Kovář,Stanislav,Kovář,sz,15,yes
152,Miloslava Pošvářová,Miloslava,Pošvářová,sz-pirati,60,yes
235,Libor Kleibl,Libor,Kleibl,pro-saz,36,yes
161,Pavel Foretník,Pavel,Foretník,usvit,66,yes
75,Petr Pavlík,Petr,Pavlík,cssd,27,yes
36,Ivo Jahelka,Ivo,Jahelka,top-09,15,yes
154,Helena Sýkorová,Helena,Sýkorová,kscm,60,yes
82,Jana Šrámková,Jana,Šrámková,lk,30,yes
248,Vladimír Gregor,Vladimír,Gregor,svobodni,33,yes
136,Petr Stoček,Petr,Stoček,kscm,51,yes
12,Leo Steiner,Leo,Steiner,kdu-csl,6,yes
26,Karel Kratochvíle,Karel,Kratochvíle,cssd,12,yes
151,Zdeněk Papoušek,Zdeněk,Papoušek,kdu-csl,60,yes
69,Zdeňka Chromíková,Zdeňka,Chromíková,domov,27,yes
97,Karel Tejnora,Karel,Tejnora,ods,36,yes
230,Daniel Solis,Daniel,Solis,nb-nd,21,yes
40,Milan Štěch,Milan,Štěch,cssd,15,yes
86,Marcela Dvořáčková,Marcela,Dvořáčková,ano,33,yes
18,Jiřina Holotová,Jiřina,Holotová,usvit,9,yes
123,Miroslav Antl,Miroslav,Antl,cssd,48,yes
252,Martin Zíka,Martin,Zíka,pirati,33,yes
7,Vítězslav Padevět,Vítězslav,Padevět,top-09,3,yes
59,Ivan Noveský,Ivan,Noveský,domov,24,yes
107,Pavel Kárník,Pavel,Kárník,top-09,42,yes
190,Radek Sušil,Radek,Sušil,cssd,75,yes
134,Jiří Nekovář,Jiří,Nekovář,usvit,51,yes
109,Roman Škrabánek,Roman,Škrabánek,usvit,42,yes
38,Tomáš Křišťan,Tomáš,Křišťan,kdu-csl,15,yes
84,Michaela Vojtová,Michaela,Vojtová,top-09,30,yes
98,Jiří Vosecký,Jiří,Vosecký,slk,36,yes
183,Petr Mihálik,Petr,Mihálik,cssd,72,yes
233,Josef Hausmann,Josef,Hausmann,nb-nd,30,yes
208,Luděk Galuška,Luděk,Galuška,nezavisly,81,yes
159,Jitka Seitlová,Jitka,Seitlová,kdu-csl,63,yes
182,Peter Koliba,Peter,Koliba,ano,72,yes
41,Martin Bartoš,Martin,Bartoš,usvit,18,yes
189,Martin Gebauer,Martin,Gebauer,ano,75,yes
257,Michal Drabík,Michal,Drabík,applzen-cz,9,yes
169,Martin Adamec,Martin,Adamec,nmfm,69,yes
90,Petr Šmíd,Petr,Šmíd,spo,33,yes
65,Martin Bursík,Martin,Bursík,top-09,27,yes
61,Oldřich Pelčák,Oldřich,Pelčák,cssd,24,yes
24,Martin Gregora,Martin,Gregora,top-09,12,yes
241,Petr Michek,Petr,Michek,apz,54,yes
95,Josef Jadrný,Josef,Jadrný,sz,36,yes
50,Václav Láska,Václav,Láska,kdu-csl,21,yes
204,Alessandro Alagia,Alessandro,Alagia,nezavisly,81,yes
256,Miloš Janeček,Miloš,Janeček,republika,60,yes
25,Robert Huneš,Robert,Huneš,kdu-csl,12,yes
8,Zdeňka Hamousová,Zdeňka,Hamousová,ano,6,yes
35,Josef Fučík,Josef,Fučík,ano,15,yes
228,Česlava Lukaštíková,Česlava,Lukaštíková,nezavisli,75,yes
251,Libor Špaček,Libor,Špaček,pirati,3,yes
96,Karel Kapoun,Karel,Kapoun,cssd,36,yes
143,Ivo Bárek,Ivo,Bárek,cssd,57,yes
64,Jiří Vávra,Jiří,Vávra,top-09,24,yes
199,Luděk Maděra,Luděk,Maděra,pirati,78,yes
246,Lubomír Havránek ,Lubomír,Havránek,svobodni,15,yes
207,Hana Doupovcová,Hana,Doupovcová,cssd,81,yes
116,Anna Maclová,Anna,Maclová,kdu-csl,45,yes
1,Jaroslav Bradáč,Jaroslav,Bradáč,spo,3,yes
113,Jiří Hejhálek,Jiří,Hejhálek,svobodni,45,yes
193,Jan Bravenec,Jan,Bravenec,usvit,78,yes
240,Ladislav Stalmach,Ladislav,Stalmach,spo,51,yes
117,Jaroslav Malý,Jaroslav,Malý,cssd,45,yes
231,Milan Jančík,Milan,Jančík,,21,no
102,Jiří Hlavatý,Jiří,Hlavatý,ano,39,no
153,Karel Schmeidler,Karel,Schmeidler,ano,60,no
197,Aloisie Jurkovičová,Aloisie,Jurkovičová,ano,78,no
147,Pavel Zůna,Pavel,Zůna,ano,57,no
168,Jan Zahradníček,Jan,Zahradníček,ano,66,no
2,Jiří Dufka,Jiří,Dufka,ano,3,no
70,Laura Janáčková,Laura,Janáčková,ano,27,no
20,Miloslava Rutová,Miloslava,Rutová,ano,9,no
46,Věra Adámková,Věra,Adámková,ano,21,no
206,Zdeněk Botek,Zdeněk,Botek,ano,81,no
73,Ivo Kasal,Ivo,Kasal,antibursik,27,no
200,Karel Nedbálek,Karel,Nedbálek,cs,78,no
22,Václav Šimánek,Václav,Šimánek,cssd,9,no
111,Emilie Třísková,Emilie,Třísková,cssd,42,no
137,Dagmar Zvěřinová,Dagmar,Zvěřinová,cssd,51,no
42,Josef Řihák,Josef,Řihák,cssd,18,no
156,Michal Chromec,Michal,Chromec,cssd,63,no
226,Jiří Hájek,Jiří,Hájek,cssd,69,no
173,Jiří Hájek,Jiří,Hájek,cssd,69,no
9,Marcel Chládek,Marcel,Chládek,cssd,6,no
162,Karel Korytář,Karel,Korytář,cssd,66,no
112,Vladimír Dryml,Vladimír,Dryml,domov,45,no
163,Jiří Novák,Jiří,Novák,domov,66,no
237,Stanislav Penc,Stanislav,Penc,ka,39,no
177,Lukáš Curylo,Lukáš,Curylo,kdu-csl,72,no
171,Jiří Carbol,Jiří,Carbol,kdu-csl,69,no
129,Luboš Řehák,Luboš,Řehák,kdu-csl,48,no
164,Alena Šromová,Alena,Šromová,kdu-csl,66,no
191,Vladislav Szkandera,Vladislav,Szkandera,kdu-csl,75,no
144,Roman Celý,Roman,Celý,kdu-csl,57,no
205,Pavel Botek,Pavel,Botek,kdu-csl,81,no
21,Petr Rybář,Petr,Rybář,kdu-csl,9,no
121,Lubomír Štěpán,Lubomír,Štěpán,kscm,45,no
23,Vítězslava Baborová,Vítězslava,Baborová,kscm,12,no
127,Josef Lukášek,Josef,Lukášek,kscm,48,no
94,Jan Dvořák,Jan,Dvořák,kscm,36,no
178,Petr Gajdáček,Petr,Gajdáček,kscm,72,no
110,František Švarc,František,Švarc,kscm,42,no
188,Tomáš Gallik,Tomáš,Gallik,kscm,75,no
58,František Křížek,František,Křížek,kscm,24,no
138,Marta Bayerová,Marta,Bayerová,kscm,54,no
192,Vlastislav Antolák,Vlastislav,Antolák,kscm,78,no
89,Václav Šenkýř,Václav,Šenkýř,kscm,33,no
175,Ivan Vrba,Ivan,Vrba,kscm,69,no
19,Karel Kvit,Karel,Kvit,kscm,9,no
51,Lubomír Ledl,Lubomír,Ledl,kscm,21,no
158,Miroslav Raindl,Miroslav,Raindl,kscm,63,no
145,Zdeněk Koudelka,Zdeněk,Koudelka,kscm,57,no
160,Zdeněk Beňo,Zdeněk,Beňo,kscm,66,no
100,Slavomír Brádler,Slavomír,Brádler,kscm,39,no
209,Ivan Mařák,Ivan,Mařák,kscm,81,no
14,Ivo Trešl,Ivo,Trešl,mpv,6,no
234,Jaroslav Kuba,Jaroslav,Kuba,nb-nd,33,no
243,Vladimír Železný,Vladimír,Železný,nd,54,no
238,Petr Novák,Petr,Novák,nezavisli,51,no
242,Petr Krátký,Petr,Krátký,nezavisli,54,no
15,Vladimír Záhorský,Vladimír,Záhorský,nezavisli,6,no
244,Václav Hučík,Václav,Hučík,nezavisli,81,no
202,Jan Zlínský,Jan,Zlínský,nezavisli,78,no
11,Jiří Loskot,Jiří,Loskot,nezavisly,6,no
44,Jiří Burian,Jiří,Burian,ods,18,no
103,Pavel Káňa,Pavel,Káňa,ods,39,no
187,Werner Bernatík,Werner,Bernatík,ods,75,no
108,Milan Rak,Milan,Rak,ods,42,no
57,Tomáš Kladívko,Tomáš,Kladívko,ods,24,no
13,Luděk Štíbr,Luděk,Štíbr,ods,6,no
122,Oldřich Vlasák,Oldřich,Vlasák,ods,45,no
135,Jaroslav Ptáček,Jaroslav,Ptáček,ods,51,no
83,Lenka Kohoutová,Lenka,Kohoutová,ods,30,no
176,Pavel Bartoš,Pavel,Bartoš,ods,72,no
166,Radek Vincour,Radek,Vincour,ods,66,no
53,Pavel Žáček,Pavel,Žáček,ods,21,no
174,Eva Pastušková,Eva,Pastušková,ods,69,no
16,Lumír Aschenbrennen,Lumír,Aschenbrennen,ods,9,no
141,Karel Podzimek,Karel,Podzimek,ods,54,no
77,Zdeněk Schwarz,Zdeněk,Schwarz,ods,27,no
34,Josef Doubek,Josef,Doubek,ods,15,no
211,Jan Pijáček,Jan,Pijáček,ods,81,no
28,Jiří Mánek,Jiří,Mánek,ods,12,no
5,Jaroslav Kočvara,Jaroslav,Kočvara,ods,3,no
148,Jan Bobrovský,Jan,Bobrovský,ods,60,no
184,Věra Racková,Věra,Racková,of,72,no
249,Ivo Kaštan,Ivo,Kaštan,oks,51,no
250,Miroslav Lidinský,Miroslav,Lidinský,oks,15,no
186,Radim Žebrák,Radim,Žebrák,ostravak,72,no
126,Roman Kučera,Roman,Kučera,pirati,48,no
91,Josef Zoser,Josef,Zoser,pro-kraj,33,no
255,Pavel Lebeda,Pavel,Lebeda,republika,42,no
27,Miroslav Krejča,Miroslav,Krejča,republika,12,no
198,Olga Křížová,Olga,Křížová,republika,78,no
63,"Ludvík ""Uwe"" Vaník",Ludvík,"""Uwe""",republika,24,no
253,Dimiter Petrov,Dimiter,Petrov,republika,21,no
56,Petr Hannig,Petr,Hannig,rozumni,24,no
232,Karel Kasal,Karel,Kasal,sd-sn,30,no
66,Miloslav Dočekal,Miloslav,Dočekal,snk-ed,27,no
185,Radoslav Štědroň,Radoslav,Štědroň,sp,72,no
93,Miroslav Coufal,Miroslav,Coufal,spo,36,no
179,Petr Guziana,Petr,Guziana,spo,72,no
101,Jaroslava Hamerková,Jaroslava,Hamerková,spo,39,no
72,Milan Jurových,Milan,Jurových,spo,27,no
194,František Čuba,František,Čuba,spo,78,no
212,Ivo Valenta,Ivo,Valenta,sscr,81,no
87,Zbyněk Linhart,Zbyněk,Linhart,stan,33,no
203,Petr Žůrek,Petr,Žůrek,stan,78,no
33,Zeňka Bečková,Zeňka,Bečková,stpo,15,no
4,Václav Jakl,Václav,Jakl,svobodni,3,no
131,Josef Fendrych,Josef,Fendrych,svobodni,51,no
165,Pavel Taussig,Pavel,Taussig,svobodni,66,no
99,Oldřich Voženílek,Oldřich,Voženílek,svobodni,36,no
60,František Pecka,František,Pecka,svobodni,24,no
49,Miluše Korbelová,Miluše,Korbelová,svobodni,21,no
239,Miloš Komínek,Miloš,Komínek,svz,51,no
180,Petr Chodura,Petr,Chodura,t,72,no
181,Jiří Joneš,Jiří,Joneš,top-09-stan,72,no
150,Michal Marek,Michal,Marek,top-09-stan,60,no
146,Zdeněk Šigut,Zdeněk,Šigut,top-09-stan,57,no
79,Petr Šefl,Petr,Šefl,usvit,27,no
48,Karol Hrádela,Karol,Hrádela,usvit,21,no
29,Elvíra Tomášková,Elvíra,Tomášková,usvit,12,no
210,Stanislav Mikula,Stanislav,Mikula,zh,81,no
